network,station,channel,latitude,longitude
TA, 109C, BHN, 0, 0
TA, 109C, BHE, 0, 0
TA, 109C, BHZ, 0, 0
TA, 121A, BHN, 0, 0
TA, 121A, BHE, 0, 0
TA, 121A, BHZ, 0, 0
TA, 157A, BHN, 0, 0
TA, 157A, BHE, 0, 0
TA, 157A, BHZ, 0, 0
TA, 158A, BHN, 0, 0
TA, 158A, BHE, 0, 0
TA, 158A, BHZ, 0, 0
TA, 214A, BHN, 0, 0
TA, 214A, BHE, 0, 0
TA, 214A, BHZ, 0, 0
TA, 435B, BHN, 0, 0
TA, 435B, BHE, 0, 0
TA, 435B, BHZ, 0, 0
TA, 833A, BHN, 0, 0
TA, 833A, BHE, 0, 0
TA, 833A, BHZ, 0, 0
TA, A04D, BHN, 0, 0
TA, A04D, BHE, 0, 0
TA, A04D, BHZ, 0, 0
TA, A36M, BHN, 0, 0
TA, A36M, BHE, 0, 0
TA, A36M, BHZ, 0, 0
TA, ABTX, BHN, 0, 0
TA, ABTX, BHE, 0, 0
TA, ABTX, BHZ, 0, 0
